sample-T,sample-t,index,I,U,T,Capacity,SOC
5157.468764,280.3749822,8,0.962824821,3.472122908,26.86621666,-0.046610499,9.55E-01
5158.477686,281.3839037,8,-0.962068021,3.172349453,27.01565742,-0.046880125,9.55E-01
5159.477731,282.3839495,8,-0.962068021,3.170502663,26.84921265,-0.047147378,9.54E-01
5160.488052,283.3942699,8,-0.962255836,3.169887066,26.95450974,-0.04741743,9.54E-01
5161.492796,284.3990141,8,-0.961880147,3.169579506,26.95450974,-0.047685886,9.54E-01
5162.495907,285.402125,8,-0.962068021,3.168963909,26.91036415,-0.047953959,9.54E-01
5163.50414,286.4103585,8,-0.962068021,3.168963909,27.04623032,-0.0482234,9.53E-01
5164.511982,287.4182009,8,-0.962255836,3.168348312,27.00209236,-0.04849279,9.53E-01
5165.513264,288.4194824,8,-0.961692333,3.168656111,26.91036415,-0.048760269,9.53E-01
5166.517082,289.4233005,8,-0.962068021,3.168348312,27.01565742,-0.04902853,9.53E-01
5167.526143,290.4323612,8,-0.961880147,3.168348312,26.91036415,-0.04929814,9.52E-01
5168.532329,291.4385472,8,-0.962068021,3.168348312,26.84921265,-0.049567034,9.52E-01
5169.53723,292.4434481,8,-0.962068021,3.168040514,26.84921265,-0.049835585,9.52E-01
5170.53828,293.4444979,8,-0.962068021,3.168040514,27.00209236,-0.050103107,9.52E-01
5171.54447,294.4506888,8,-0.962255836,3.167732716,27.00209236,-0.050372055,9.51E-01
5172.550399,295.4566168,8,-0.962068021,3.167732716,26.87978745,-0.05064088,9.51E-01
5173.55654,296.4627584,8,-0.962068021,3.167732716,26.97151566,-0.050909763,9.51E-01
